,age,education_num,hours_per_week,capital_gain,sex,REL_NotInFam,REL_OtherRelat,REL_OwnChild,REL_Unmarr,REL_Spouse,result_01
0,39,13,40,2174,1,1,0,0,0,0,0
1,50,13,13,0,1,0,0,0,0,1,0
2,38,9,40,0,1,1,0,0,0,0,0
3,53,7,40,0,1,0,0,0,0,1,0
4,28,13,40,0,0,0,0,0,0,1,0
5,37,14,40,0,0,0,0,0,0,1,0
6,49,5,16,0,0,1,0,0,0,0,0
7,52,9,45,0,1,0,0,0,0,1,1
8,31,14,50,14084,0,1,0,0,0,0,1
9,42,13,40,5178,1,0,0,0,0,1,1
10,37,10,80,0,1,0,0,0,0,1,1
11,30,13,40,0,1,0,0,0,0,1,1
12,23,13,30,0,0,0,0,1,0,0,0
13,32,12,50,0,1,1,0,0,0,0,0
14,40,11,40,0,1,0,0,0,0,1,1
15,34,4,45,0,1,0,0,0,0,1,0
16,25,9,35,0,1,0,0,1,0,0,0
17,32,9,40,0,1,0,0,0,1,0,0
18,38,7,50,0,1,0,0,0,0,1,0
19,43,14,45,0,0,0,0,0,1,0,1
20,40,16,60,0,1,0,0,0,0,1,1
21,54,9,20,0,0,0,0,0,1,0,0
22,35,5,40,0,1,0,0,0,0,1,0
23,43,7,40,0,1,0,0,0,0,1,0
24,59,9,40,0,0,0,0,0,1,0,0
25,56,13,40,0,1,0,0,0,0,1,1
26,19,9,40,0,1,0,0,1,0,0,0
27,39,9,80,0,1,1,0,0,0,0,0
28,49,9,40,0,1,0,0,0,0,1,0
29,23,12,52,0,1,1,0,0,0,0,0
30,20,10,44,0,1,0,0,1,0,0,0
31,45,13,40,0,1,0,0,1,0,0,0
32,30,10,40,0,1,0,0,1,0,0,0
33,22,10,15,0,1,0,0,0,0,1,0
34,48,7,40,0,1,0,0,0,1,0,0
35,21,10,40,0,1,0,0,1,0,0,0
36,19,9,25,0,0,0,0,0,0,1,0
37,31,10,38,0,1,0,0,0,0,1,1
38,48,12,40,0,1,0,0,0,0,1,0
39,31,5,43,0,1,0,0,0,0,1,0
40,53,13,40,0,1,0,0,0,0,1,0
41,24,13,50,0,1,0,0,0,0,1,0
42,49,9,40,0,0,0,0,0,1,0,0
43,25,9,35,0,1,1,0,0,0,0,0
44,57,13,40,0,1,0,0,0,0,1,1
45,53,9,38,0,1,0,0,0,0,1,0
46,44,14,40,0,0,0,0,0,1,0,0
47,41,11,40,0,1,0,0,0,0,1,0
48,29,11,43,0,1,1,0,0,0,0,0
49,25,10,40,0,0,0,0,0,0,1,0
50,18,9,30,0,0,0,0,1,0,0,0
51,47,15,60,0,0,0,0,0,0,1,1
52,50,13,55,0,1,1,0,0,0,0,1
53,47,9,60,0,1,1,0,0,0,0,0
54,43,10,40,0,1,0,0,0,0,1,1
55,46,3,40,0,1,0,0,0,0,1,0
56,35,11,40,0,1,0,0,0,0,1,0
57,41,9,48,0,1,0,0,0,0,1,0
58,30,9,40,5013,1,0,0,0,0,1,0
59,30,13,40,2407,1,0,0,0,0,1,0
60,48,9,40,0,1,0,0,0,0,1,0
61,42,16,45,0,1,0,0,0,0,1,1
62,29,10,58,0,1,1,0,0,0,0,0
63,36,9,40,0,1,0,0,0,0,1,0
64,28,10,40,0,0,1,0,0,0,0,0
65,53,9,40,0,0,0,0,0,0,1,1
66,49,10,50,0,1,0,0,0,0,1,1
67,19,10,32,0,1,0,0,1,0,0,0
68,31,13,40,0,0,0,0,1,0,0,0
69,29,13,70,0,1,0,0,0,0,1,1
70,23,10,40,0,1,1,0,0,0,0,0
71,79,10,20,0,1,0,1,0,0,0,0
72,27,9,40,0,1,0,0,1,0,0,0
73,40,12,40,0,1,0,0,0,0,1,0
74,18,7,22,0,0,0,0,1,0,0,0
75,31,4,40,0,1,0,0,0,0,1,0
76,18,9,30,0,1,1,0,0,0,0,0
77,52,13,40,0,1,0,0,0,0,1,0
78,46,9,40,0,0,0,0,0,0,1,0
79,59,9,48,0,1,0,0,0,0,1,0
80,44,9,40,14344,0,1,0,0,0,0,1
81,53,9,35,0,0,0,0,1,0,0,0
82,49,9,40,0,1,0,0,0,0,1,1
83,33,14,50,0,1,0,0,0,0,1,0
84,30,5,40,0,1,1,0,0,0,0,0
85,43,16,50,0,0,1,0,0,0,0,1
86,57,11,40,0,1,0,0,0,0,1,0
87,37,10,40,0,0,0,0,0,1,0,0
88,28,10,25,0,0,0,0,0,1,0,0
89,30,9,35,0,0,0,0,0,0,1,0
90,34,13,40,0,1,0,0,0,0,1,1
